shared name	FOLDCHANGE	PVALUE
AT1G01060 (REPRESSED:PCHX) AT5G62430	-0.4	1.6E-02
AT1G01070 (REPRESSED:PCHX) AT5G62430	-0.6	5.4E-02
AT1G01480 (REPRESSED:PCHX) AT5G62430	-0.5	6.6E-03
AT1G02400 (REPRESSED:PCHX) AT5G62430	-0.5	5.7E-06
AT1G02810 (INDUCED:PCHX) AT5G62430	1.5	2.2E-33
AT1G02860 (INDUCED:PCHX) AT5G62430	0.7	7.5E-04
AT1G03790 (INDUCED:PCHX) AT5G62430	0.4	5.8E-02
AT1G04160 (INDUCED:PCHX) AT5G62430	0.6	3.4E-03
AT1G04680 (INDUCED:PCHX) AT5G62430	0.7	3.0E-02
AT1G04710 (REPRESSED:PCHX) AT5G62430	-0.4	2.9E-02
AT1G05000 (REPRESSED:PCHX) AT5G62430	-0.3	8.1E-02
AT1G05010 (REPRESSED:PCHX) AT5G62430	-0.3	3.7E-02
AT1G05280 (INDUCED:PCHX) AT5G62430	1.5	6.2E-08
AT1G05330 (REPRESSED:PCHX) AT5G62430	-0.5	4.7E-03
AT1G05340 (REPRESSED:PCHX) AT5G62430	-0.4	4.1E-02
AT1G05570 (REPRESSED:PCHX) AT5G62430	-0.3	8.4E-02
AT1G05610 (INDUCED:PCHX) AT5G62430	0.7	1.8E-02
AT1G05800 (REPRESSED:PCHX) AT5G62430	-0.7	1.7E-04
AT1G06400 (REPRESSED:PCHX) AT5G62430	-0.3	6.5E-02
AT1G06410 (REPRESSED:PCHX) AT5G62430	-0.3	1.6E-02
AT1G06550 (REPRESSED:PCHX) AT5G62430	-0.4	2.7E-03
AT1G06760 (INDUCED:PCHX) AT5G62430	0.6	3.4E-07
AT1G07150 (INDUCED:PCHX) AT5G62430	0.4	2.3E-02
AT1G07180 (INDUCED:PCHX) AT5G62430	1.1	7.9E-05
AT1G07410 (REPRESSED:PCHX) AT5G62430	-0.5	6.5E-03
AT1G07430 (REPRESSED:PCHX) AT5G62430	-0.3	8.2E-02
AT1G07790 (INDUCED:PCHX) AT5G62430	0.7	2.9E-07
AT1G08050 (REPRESSED:PCHX) AT5G62430	-0.4	6.4E-02
AT1G08090 (INDUCED:PCHX) AT5G62430	0.7	5.3E-03
AT1G08190 (REPRESSED:PCHX) AT5G62430	-0.3	5.2E-02
AT1G08340 (INDUCED:PCHX) AT5G62430	0.9	6.2E-04
AT1G08500 (INDUCED:PCHX) AT5G62430	0.7	3.1E-02
AT1G08730 (REPRESSED:PCHX) AT5G62430	-0.8	1.9E-09
AT1G08880 (INDUCED:PCHX) AT5G62430	0.4	3.0E-02
AT1G08930 (REPRESSED:PCHX) AT5G62430	-0.4	1.8E-02
AT1G09200 (INDUCED:PCHX) AT5G62430	0.6	1.8E-03
AT1G09210 (REPRESSED:PCHX) AT5G62430	-0.3	7.3E-02
AT1G09840 (REPRESSED:PCHX) AT5G62430	-0.3	5.6E-02
AT1G09890 (INDUCED:PCHX) AT5G62430	0.5	4.4E-03
AT1G09950 (INDUCED:PCHX) AT5G62430	0.4	1.0E-02
AT1G09970 (REPRESSED:PCHX) AT5G62430	-0.5	4.1E-03
AT1G10560 (INDUCED:PCHX) AT5G62430	0.7	6.5E-04
AT1G11000 (INDUCED:PCHX) AT5G62430	1.6	5.7E-13
AT1G11190 (INDUCED:PCHX) AT5G62430	0.9	5.3E-06
AT1G11950 (REPRESSED:PCHX) AT5G62430	-0.4	2.2E-04
AT1G11960 (REPRESSED:PCHX) AT5G62430	-0.4	1.5E-03
AT1G12000 (REPRESSED:PCHX) AT5G62430	-0.4	6.9E-03
AT1G12050 (REPRESSED:PCHX) AT5G62430	-0.4	1.4E-02
AT1G12140 (REPRESSED:PCHX) AT5G62430	-0.3	4.3E-02
AT1G12200 (REPRESSED:PCHX) AT5G62430	-0.3	3.2E-02
AT1G12740 (INDUCED:PCHX) AT5G62430	0.8	1.8E-03
AT1G12990 (INDUCED:PCHX) AT5G62430	0.5	1.8E-03
AT1G13210 (REPRESSED:PCHX) AT5G62430	-0.3	6.2E-02
AT1G13260 (REPRESSED:PCHX) AT5G62430	-0.4	2.3E-03
AT1G13300 (INDUCED:PCHX) AT5G62430	1.0	1.8E-03
AT1G14060 (INDUCED:PCHX) AT5G62430	0.7	8.4E-03
AT1G14140 (INDUCED:PCHX) AT5G62430	0.6	7.2E-02
AT1G14240 (INDUCED:PCHX) AT5G62430	1.4	1.3E-12
AT1G14340 (REPRESSED:PCHX) AT5G62430	-0.5	1.2E-02
AT1G14460 (REPRESSED:PCHX) AT5G62430	-0.6	1.4E-02
AT1G14490 (REPRESSED:PCHX) AT5G62430	-0.4	7.4E-02
AT1G14890 (REPRESSED:PCHX) AT5G62430	-0.3	2.7E-02
AT1G14910 (REPRESSED:PCHX) AT5G62430	-0.3	7.6E-02
AT1G14960 (REPRESSED:PCHX) AT5G62430	-0.7	4.8E-02
AT1G15400 (INDUCED:PCHX) AT5G62430	0.4	8.6E-02
AT1G15950 (REPRESSED:PCHX) AT5G62430	-0.5	1.9E-02
AT1G15960 (REPRESSED:PCHX) AT5G62430	-0.5	3.8E-02
AT1G15980 (REPRESSED:PCHX) AT5G62430	-0.4	1.4E-02
AT1G15990 (REPRESSED:PCHX) AT5G62430	-0.6	2.0E-02
AT1G16020 (REPRESSED:PCHX) AT5G62430	-0.5	2.4E-02
AT1G16350 (REPRESSED:PCHX) AT5G62430	-0.5	2.9E-04
AT1G17060 (INDUCED:PCHX) AT5G62430	1.2	3.6E-07
AT1G17145 (INDUCED:PCHX) AT5G62430	0.6	2.7E-05
AT1G17180 (INDUCED:PCHX) AT5G62430	0.9	2.1E-03
AT1G17190 (INDUCED:PCHX) AT5G62430	1.6	2.2E-25
AT1G17350 (INDUCED:PCHX) AT5G62430	0.6	3.3E-02
AT1G17420 (REPRESSED:PCHX) AT5G62430	-0.5	1.2E-06
AT1G17710 (INDUCED:PCHX) AT5G62430	0.6	3.0E-03
AT1G17760 (REPRESSED:PCHX) AT5G62430	-0.3	7.1E-02
AT1G17830 (INDUCED:PCHX) AT5G62430	0.5	2.3E-02
AT1G18310 (REPRESSED:PCHX) AT5G62430	-0.4	4.6E-02
AT1G18690 (REPRESSED:PCHX) AT5G62430	-0.7	8.7E-03
AT1G18710 (INDUCED:PCHX) AT5G62430	0.4	2.0E-02
AT1G18910 (INDUCED:PCHX) AT5G62430	0.4	9.9E-03
AT1G19220 (REPRESSED:PCHX) AT5G62430	-0.5	5.7E-04
AT1G19835 (REPRESSED:PCHX) AT5G62430	-0.4	8.2E-03
AT1G19920 (REPRESSED:PCHX) AT5G62430	-0.6	2.0E-04
AT1G20350 (INDUCED:PCHX) AT5G62430	0.8	1.3E-02
AT1G20380 (REPRESSED:PCHX) AT5G62430	-1.5	2.1E-23
AT1G20510 (REPRESSED:PCHX) AT5G62430	-0.2	4.9E-02
AT1G20560 (REPRESSED:PCHX) AT5G62430	-0.4	4.5E-02
AT1G21310 (INDUCED:PCHX) AT5G62430	1.0	1.8E-17
AT1G21550 (INDUCED:PCHX) AT5G62430	0.7	1.0E-03
AT1G21610 (REPRESSED:PCHX) AT5G62430	-0.3	4.0E-02
AT1G21630 (REPRESSED:PCHX) AT5G62430	-0.3	5.6E-02
AT1G21670 (INDUCED:PCHX) AT5G62430	0.8	1.1E-02
AT1G22410 (REPRESSED:PCHX) AT5G62430	-0.4	1.6E-02
AT1G22530 (REPRESSED:PCHX) AT5G62430	-0.6	4.6E-07
AT1G22710 (REPRESSED:PCHX) AT5G62430	-0.4	2.7E-03
AT1G23230 (REPRESSED:PCHX) AT5G62430	-0.4	5.0E-02
AT1G23750 (INDUCED:PCHX) AT5G62430	0.7	5.5E-02
AT1G23820 (REPRESSED:PCHX) AT5G62430	-0.3	4.3E-02
AT1G24330 (REPRESSED:PCHX) AT5G62430	-0.4	7.7E-03
AT1G25260 (INDUCED:PCHX) AT5G62430	0.4	6.7E-02
AT1G25275 (INDUCED:PCHX) AT5G62430	0.4	5.1E-02
AT1G25350 (REPRESSED:PCHX) AT5G62430	-0.3	9.6E-02
AT1G26665 (INDUCED:PCHX) AT5G62430	0.4	4.2E-02
AT1G26820 (INDUCED:PCHX) AT5G62430	1.5	3.0E-14
AT1G26920 (INDUCED:PCHX) AT5G62430	0.8	1.1E-04
AT1G27140 (INDUCED:PCHX) AT5G62430	1.2	1.2E-05
AT1G27770 (REPRESSED:PCHX) AT5G62430	-0.3	3.4E-02
AT1G27950 (INDUCED:PCHX) AT5G62430	1.3	2.9E-07
AT1G27980 (REPRESSED:PCHX) AT5G62430	-0.3	8.8E-02
AT1G28110 (REPRESSED:PCHX) AT5G62430	-0.8	1.9E-04
AT1G28250 (INDUCED:PCHX) AT5G62430	0.6	2.3E-03
AT1G28290 (INDUCED:PCHX) AT5G62430	0.9	9.1E-03
AT1G28380 (REPRESSED:PCHX) AT5G62430	-0.3	5.7E-02
AT1G29470 (REPRESSED:PCHX) AT5G62430	-0.4	3.9E-03
AT1G29900 (REPRESSED:PCHX) AT5G62430	-0.4	2.6E-02
AT1G30135 (REPRESSED:PCHX) AT5G62430	-0.3	8.8E-02
AT1G30400 (INDUCED:PCHX) AT5G62430	1.0	1.5E-10
AT1G30490 (REPRESSED:PCHX) AT5G62430	-0.5	1.6E-02
AT1G30600 (REPRESSED:PCHX) AT5G62430	-0.6	2.6E-02
AT1G30740 (INDUCED:PCHX) AT5G62430	0.6	7.9E-02
AT1G30850 (INDUCED:PCHX) AT5G62430	0.8	1.8E-02
AT1G30870 (INDUCED:PCHX) AT5G62430	0.7	6.2E-02
