shared name	FOLDCHANGE	PVALUE
AT1G01050 (REPRESSED:PCHX) AT4G16141	-0.5	2.7E-02
AT1G01300 (INDUCED:PCHX) AT4G16141	0.5	1.0E-03
AT1G01320 (INDUCED:PCHX) AT4G16141	0.5	1.0E-02
AT1G01480 (REPRESSED:PCHX) AT4G16141	-0.3	1.8E-02
AT1G01550 (REPRESSED:PCHX) AT4G16141	-0.3	2.1E-02
AT1G01620 (INDUCED:PCHX) AT4G16141	0.8	3.3E-04
AT1G01630 (REPRESSED:PCHX) AT4G16141	-0.4	2.9E-02
AT1G02360 (REPRESSED:PCHX) AT4G16141	-0.7	1.6E-11
AT1G02400 (REPRESSED:PCHX) AT4G16141	-0.3	1.6E-02
AT1G02810 (INDUCED:PCHX) AT4G16141	0.5	2.5E-04
AT1G02900 (REPRESSED:PCHX) AT4G16141	-0.7	3.3E-06
AT1G03080 (INDUCED:PCHX) AT4G16141	0.3	7.8E-02
AT1G03270 (INDUCED:PCHX) AT4G16141	0.6	5.6E-02
AT1G03730 (REPRESSED:PCHX) AT4G16141	-0.4	5.2E-02
AT1G03790 (INDUCED:PCHX) AT4G16141	0.7	2.8E-04
AT1G03870 (INDUCED:PCHX) AT4G16141	0.7	2.5E-02
AT1G04160 (INDUCED:PCHX) AT4G16141	0.6	1.4E-03
AT1G04430 (REPRESSED:PCHX) AT4G16141	-0.4	5.4E-03
AT1G04680 (INDUCED:PCHX) AT4G16141	0.5	8.4E-02
AT1G05010 (REPRESSED:PCHX) AT4G16141	-0.7	3.8E-13
AT1G05280 (INDUCED:PCHX) AT4G16141	0.6	6.3E-02
AT1G05575 (REPRESSED:PCHX) AT4G16141	-0.5	6.0E-03
AT1G05670 (REPRESSED:PCHX) AT4G16141	-0.5	2.2E-03
AT1G05800 (REPRESSED:PCHX) AT4G16141	-0.5	1.6E-03
AT1G05910 (INDUCED:PCHX) AT4G16141	0.4	3.1E-02
AT1G06520 (REPRESSED:PCHX) AT4G16141	-0.7	3.8E-06
AT1G06550 (REPRESSED:PCHX) AT4G16141	-0.5	2.6E-04
AT1G06720 (INDUCED:PCHX) AT4G16141	0.5	1.3E-03
AT1G06760 (INDUCED:PCHX) AT4G16141	0.3	4.3E-02
AT1G06950 (INDUCED:PCHX) AT4G16141	0.3	1.4E-02
AT1G07590 (REPRESSED:PCHX) AT4G16141	-0.3	4.6E-02
AT1G07630 (REPRESSED:PCHX) AT4G16141	-0.5	6.8E-03
AT1G07840 (INDUCED:PCHX) AT4G16141	0.4	3.6E-02
