shared name	FOLDCHANGE	PVALUE
AT1G01070 (REPRESSED:PCHX) AT5G62020	-1.4	8.4E-04
AT1G01090 (INDUCED:PCHX) AT5G62020	0.7	4.1E-03
AT1G01320 (INDUCED:PCHX) AT5G62020	0.5	2.1E-02
AT1G01360 (INDUCED:PCHX) AT5G62020	0.5	1.6E-02
AT1G01560 (REPRESSED:PCHX) AT5G62020	-0.9	7.1E-13
AT1G01630 (REPRESSED:PCHX) AT5G62020	-0.7	4.6E-03
AT1G01725 (REPRESSED:PCHX) AT5G62020	-0.6	3.2E-04
AT1G01730 (REPRESSED:PCHX) AT5G62020	-0.8	5.7E-09
AT1G01750 (REPRESSED:PCHX) AT5G62020	-0.7	7.2E-02
AT1G01760 (REPRESSED:PCHX) AT5G62020	-1.2	1.7E-06
AT1G01780 (REPRESSED:PCHX) AT5G62020	-0.4	8.2E-02
AT1G01790 (REPRESSED:PCHX) AT5G62020	-0.6	3.1E-03
AT1G01860 (INDUCED:PCHX) AT5G62020	0.8	6.7E-02
AT1G01930 (INDUCED:PCHX) AT5G62020	0.6	7.0E-03
AT1G01980 (REPRESSED:PCHX) AT5G62020	-1.2	1.6E-02
AT1G02220 (REPRESSED:PCHX) AT5G62020	-1.0	7.7E-03
AT1G02330 (INDUCED:PCHX) AT5G62020	0.8	8.1E-05
AT1G02340 (INDUCED:PCHX) AT5G62020	1.1	3.6E-02
AT1G02360 (REPRESSED:PCHX) AT5G62020	-1.0	1.3E-09
AT1G02400 (REPRESSED:PCHX) AT5G62020	-0.8	1.7E-12
AT1G02540 (REPRESSED:PCHX) AT5G62020	-0.9	6.9E-02
AT1G02670 (INDUCED:PCHX) AT5G62020	0.5	7.9E-02
AT1G02750 (INDUCED:PCHX) AT5G62020	0.4	4.4E-02
AT1G02810 (INDUCED:PCHX) AT5G62020	0.3	8.7E-02
AT1G02850 (REPRESSED:PCHX) AT5G62020	-0.8	2.2E-08
AT1G02900 (INDUCED:PCHX) AT5G62020	0.6	8.1E-04
AT1G02970 (INDUCED:PCHX) AT5G62020	1.1	2.7E-02
AT1G02980 (INDUCED:PCHX) AT5G62020	1.1	1.8E-04
AT1G03270 (INDUCED:PCHX) AT5G62020	1.2	1.1E-02
AT1G03280 (INDUCED:PCHX) AT5G62020	0.5	6.2E-03
AT1G03560 (INDUCED:PCHX) AT5G62020	0.7	4.2E-02
AT1G03687 (INDUCED:PCHX) AT5G62020	0.7	7.9E-02
AT1G03700 (INDUCED:PCHX) AT5G62020	1.6	2.3E-04
AT1G03730 (REPRESSED:PCHX) AT5G62020	-0.9	1.2E-11
AT1G03830 (INDUCED:PCHX) AT5G62020	0.7	4.3E-03
AT1G04050 (INDUCED:PCHX) AT5G62020	1.0	1.6E-03
AT1G04120 (REPRESSED:PCHX) AT5G62020	-0.6	1.3E-04
AT1G04160 (INDUCED:PCHX) AT5G62020	0.8	3.4E-05
AT1G04200 (INDUCED:PCHX) AT5G62020	0.3	3.6E-02
AT1G04230 (INDUCED:PCHX) AT5G62020	0.4	1.6E-02
AT1G04410 (REPRESSED:PCHX) AT5G62020	-0.8	4.3E-10
AT1G04430 (REPRESSED:PCHX) AT5G62020	-0.4	2.7E-02
AT1G04500 (REPRESSED:PCHX) AT5G62020	-0.9	2.0E-02
AT1G04820 (REPRESSED:PCHX) AT5G62020	-0.6	1.9E-03
AT1G04850 (REPRESSED:PCHX) AT5G62020	-0.5	1.0E-03
AT1G05205 (REPRESSED:PCHX) AT5G62020	-0.6	4.7E-02
AT1G05350 (INDUCED:PCHX) AT5G62020	0.6	6.6E-02
AT1G05490 (INDUCED:PCHX) AT5G62020	1.2	5.0E-03
AT1G05575 (REPRESSED:PCHX) AT5G62020	-1.6	3.8E-17
AT1G05800 (REPRESSED:PCHX) AT5G62020	-0.8	1.7E-05
AT1G06230 (INDUCED:PCHX) AT5G62020	0.3	2.6E-02
AT1G06410 (REPRESSED:PCHX) AT5G62020	-0.3	9.0E-02
AT1G06520 (REPRESSED:PCHX) AT5G62020	-0.4	3.8E-02
AT1G06550 (REPRESSED:PCHX) AT5G62020	-1.0	3.0E-12
AT1G06720 (INDUCED:PCHX) AT5G62020	0.4	4.4E-02
AT1G06760 (INDUCED:PCHX) AT5G62020	0.8	2.0E-10
AT1G06780 (INDUCED:PCHX) AT5G62020	0.5	1.9E-03
AT1G07070 (INDUCED:PCHX) AT5G62020	0.9	6.9E-02
AT1G07120 (REPRESSED:PCHX) AT5G62020	-0.9	3.9E-03
AT1G07150 (REPRESSED:PCHX) AT5G62020	-0.3	6.9E-02
AT1G07160 (REPRESSED:PCHX) AT5G62020	-1.5	8.1E-10
AT1G07350 (REPRESSED:PCHX) AT5G62020	-0.6	7.2E-03
AT1G07360 (INDUCED:PCHX) AT5G62020	0.4	3.9E-03
AT1G07410 (REPRESSED:PCHX) AT5G62020	-1.0	1.1E-03
