shared name	FOLDCHANGE	PVALUE
AT1G01060 (REPRESSED:PCHX) AT5G15830	-0.5	5.0E-03
AT1G01090 (REPRESSED:PCHX) AT5G15830	-0.4	7.6E-02
AT1G01100 (INDUCED:PCHX) AT5G15830	0.6	6.1E-04
AT1G01300 (REPRESSED:PCHX) AT5G15830	-0.4	2.1E-02
AT1G01630 (REPRESSED:PCHX) AT5G15830	-0.5	4.2E-02
AT1G01950 (REPRESSED:PCHX) AT5G15830	-0.3	4.4E-02
AT1G01960 (REPRESSED:PCHX) AT5G15830	-0.4	5.6E-02
AT1G02190 (REPRESSED:PCHX) AT5G15830	-0.4	8.7E-02
AT1G02270 (REPRESSED:PCHX) AT5G15830	-0.5	3.3E-02
AT1G02330 (INDUCED:PCHX) AT5G15830	0.4	9.0E-02
AT1G02360 (REPRESSED:PCHX) AT5G15830	-0.7	1.2E-04
AT1G02370 (INDUCED:PCHX) AT5G15830	0.8	7.2E-03
AT1G02400 (REPRESSED:PCHX) AT5G15830	-0.6	3.1E-06
AT1G02670 (INDUCED:PCHX) AT5G15830	0.6	2.5E-02
AT1G02690 (INDUCED:PCHX) AT5G15830	0.6	1.5E-02
AT1G02780 (INDUCED:PCHX) AT5G15830	0.4	8.0E-04
AT1G02810 (INDUCED:PCHX) AT5G15830	1.4	2.9E-27
AT1G02840 (INDUCED:PCHX) AT5G15830	0.5	8.0E-04
AT1G02860 (INDUCED:PCHX) AT5G15830	0.6	9.8E-03
AT1G02870 (INDUCED:PCHX) AT5G15830	0.6	1.3E-02
AT1G03110 (INDUCED:PCHX) AT5G15830	0.6	3.1E-03
AT1G03360 (INDUCED:PCHX) AT5G15830	1.1	7.0E-05
AT1G03590 (REPRESSED:PCHX) AT5G15830	-0.8	2.7E-07
AT1G03790 (INDUCED:PCHX) AT5G15830	0.4	5.6E-02
AT1G03820 (INDUCED:PCHX) AT5G15830	0.7	7.0E-02
AT1G03870 (INDUCED:PCHX) AT5G15830	1.1	1.9E-03
AT1G04040 (INDUCED:PCHX) AT5G15830	0.8	3.6E-02
AT1G04050 (INDUCED:PCHX) AT5G15830	0.7	6.5E-03
AT1G04120 (INDUCED:PCHX) AT5G15830	0.4	1.5E-02
AT1G04270 (INDUCED:PCHX) AT5G15830	0.4	3.8E-03
