shared name	FOLDCHANGE	PVALUE
AT1G01070 (REPRESSED:PCHX) AT3G49940	-0.6	4.2E-02
AT1G01140 (REPRESSED:PCHX) AT3G49940	-0.4	3.4E-03
AT1G01480 (REPRESSED:PCHX) AT3G49940	-0.4	3.5E-02
AT1G01725 (REPRESSED:PCHX) AT3G49940	-0.6	4.6E-04
AT1G01730 (REPRESSED:PCHX) AT3G49940	-0.4	9.1E-04
AT1G01760 (REPRESSED:PCHX) AT3G49940	-0.7	3.0E-03
AT1G01780 (REPRESSED:PCHX) AT3G49940	-0.5	4.6E-03
AT1G01790 (REPRESSED:PCHX) AT3G49940	-0.6	2.3E-04
AT1G02140 (INDUCED:PCHX) AT3G49940	0.4	1.3E-02
AT1G02190 (REPRESSED:PCHX) AT3G49940	-0.4	9.4E-02
AT1G02400 (REPRESSED:PCHX) AT3G49940	-0.4	5.2E-04
AT1G02670 (INDUCED:PCHX) AT3G49940	0.6	5.0E-02
AT1G02900 (INDUCED:PCHX) AT3G49940	0.7	6.8E-05
AT1G02980 (INDUCED:PCHX) AT3G49940	0.7	8.4E-03
AT1G03457 (INDUCED:PCHX) AT3G49940	0.7	1.8E-02
AT1G03790 (REPRESSED:PCHX) AT3G49940	-0.4	3.9E-02
AT1G04050 (INDUCED:PCHX) AT3G49940	0.5	5.1E-02
AT1G04120 (REPRESSED:PCHX) AT3G49940	-0.3	5.5E-02
AT1G04160 (INDUCED:PCHX) AT3G49940	0.5	5.1E-02
AT1G04400 (REPRESSED:PCHX) AT3G49940	-0.3	4.5E-02
AT1G04480 (INDUCED:PCHX) AT3G49940	0.3	5.6E-02
AT1G04850 (REPRESSED:PCHX) AT3G49940	-0.2	9.9E-02
AT1G05010 (REPRESSED:PCHX) AT3G49940	-0.3	8.9E-02
AT1G05330 (REPRESSED:PCHX) AT3G49940	-0.6	3.7E-03
AT1G06070 (INDUCED:PCHX) AT3G49940	0.3	9.9E-02
AT1G06520 (INDUCED:PCHX) AT3G49940	0.5	1.6E-02
AT1G06760 (INDUCED:PCHX) AT3G49940	0.6	1.4E-07
AT1G07000 (INDUCED:PCHX) AT3G49940	0.4	4.0E-02
AT1G07790 (INDUCED:PCHX) AT3G49940	1.0	3.9E-12
AT1G08270 (INDUCED:PCHX) AT3G49940	0.6	2.5E-02
AT1G08350 (INDUCED:PCHX) AT3G49940	0.6	7.2E-02
AT1G08510 (INDUCED:PCHX) AT3G49940	0.3	5.7E-02
AT1G08620 (REPRESSED:PCHX) AT3G49940	-0.4	2.9E-02
AT1G08730 (REPRESSED:PCHX) AT3G49940	-0.7	1.6E-07
AT1G08880 (INDUCED:PCHX) AT3G49940	0.4	3.8E-03
AT1G09180 (INDUCED:PCHX) AT3G49940	0.6	4.8E-02
AT1G09200 (INDUCED:PCHX) AT3G49940	0.5	2.6E-02
AT1G09210 (REPRESSED:PCHX) AT3G49940	-0.4	1.2E-02
AT1G09815 (INDUCED:PCHX) AT3G49940	0.6	1.3E-04
AT1G09970 (REPRESSED:PCHX) AT3G49940	-0.4	1.1E-02
AT1G11670 (REPRESSED:PCHX) AT3G49940	-0.4	5.9E-03
AT1G11960 (REPRESSED:PCHX) AT3G49940	-0.3	4.3E-02
AT1G12050 (REPRESSED:PCHX) AT3G49940	-0.4	2.2E-02
AT1G12160 (REPRESSED:PCHX) AT3G49940	-0.6	3.1E-02
AT1G12200 (REPRESSED:PCHX) AT3G49940	-0.4	3.0E-02
AT1G12780 (REPRESSED:PCHX) AT3G49940	-0.4	1.4E-02
AT1G12950 (REPRESSED:PCHX) AT3G49940	-0.6	2.9E-04
AT1G12990 (INDUCED:PCHX) AT3G49940	0.4	9.8E-02
AT1G13120 (INDUCED:PCHX) AT3G49940	0.4	2.1E-02
AT1G13210 (REPRESSED:PCHX) AT3G49940	-0.4	7.5E-04
