shared name	FOLDCHANGE	PVALUE
AT1G01470 (REPRESSED:PCHX) AT5G10030	-0.3	8.5E-02
AT1G01490 (INDUCED:PCHX) AT5G10030	0.3	5.6E-02
AT1G02400 (REPRESSED:PCHX) AT5G10030	-0.3	3.9E-02
AT1G02810 (INDUCED:PCHX) AT5G10030	0.5	1.9E-04
AT1G04120 (INDUCED:PCHX) AT5G10030	0.3	3.5E-02
AT1G04160 (INDUCED:PCHX) AT5G10030	0.5	7.1E-03
AT1G04410 (REPRESSED:PCHX) AT5G10030	-0.3	4.4E-02
AT1G04820 (REPRESSED:PCHX) AT5G10030	-0.3	8.5E-02
AT1G05010 (REPRESSED:PCHX) AT5G10030	-0.5	6.1E-05
AT1G05670 (REPRESSED:PCHX) AT5G10030	-0.4	1.9E-02
AT1G05800 (REPRESSED:PCHX) AT5G10030	-0.5	2.4E-03
AT1G06520 (INDUCED:PCHX) AT5G10030	1.1	2.8E-25
AT1G06760 (INDUCED:PCHX) AT5G10030	0.3	6.9E-02
AT1G07160 (REPRESSED:PCHX) AT5G10030	-0.5	3.7E-03
AT1G07720 (INDUCED:PCHX) AT5G10030	0.6	1.2E-02
AT1G07910 (INDUCED:PCHX) AT5G10030	0.8	7.2E-09
AT1G08320 (INDUCED:PCHX) AT5G10030	0.4	7.0E-02
AT1G09210 (REPRESSED:PCHX) AT5G10030	-0.4	5.4E-02
AT1G10650 (REPRESSED:PCHX) AT5G10030	-0.4	2.5E-02
AT1G12000 (REPRESSED:PCHX) AT5G10030	-0.3	6.5E-02
AT1G12200 (REPRESSED:PCHX) AT5G10030	-0.4	4.4E-02
AT1G13440 (REPRESSED:PCHX) AT5G10030	-0.4	3.2E-03
AT1G14040 (REPRESSED:PCHX) AT5G10030	-0.6	6.7E-08
AT1G14330 (INDUCED:PCHX) AT5G10030	0.5	1.4E-03
AT1G14890 (REPRESSED:PCHX) AT5G10030	-0.6	1.0E-04
AT1G15670 (REPRESSED:PCHX) AT5G10030	-0.4	7.6E-02
AT1G16090 (REPRESSED:PCHX) AT5G10030	-0.5	2.2E-02
AT1G16150 (INDUCED:PCHX) AT5G10030	1.0	3.5E-12
AT1G16350 (REPRESSED:PCHX) AT5G10030	-0.4	3.5E-02
AT1G16500 (INDUCED:PCHX) AT5G10030	0.6	5.2E-03
AT1G16670 (INDUCED:PCHX) AT5G10030	0.8	7.2E-11
AT1G17060 (INDUCED:PCHX) AT5G10030	0.6	2.3E-03
AT1G17360 (INDUCED:PCHX) AT5G10030	0.7	3.3E-07
AT1G17420 (REPRESSED:PCHX) AT5G10030	-0.3	4.9E-02
AT1G18570 (REPRESSED:PCHX) AT5G10030	-0.3	3.3E-02
AT1G19210 (REPRESSED:PCHX) AT5G10030	-0.6	1.2E-09
AT1G19220 (REPRESSED:PCHX) AT5G10030	-0.6	7.1E-08
AT1G20300 (INDUCED:PCHX) AT5G10030	0.4	7.8E-02
AT1G20380 (REPRESSED:PCHX) AT5G10030	-0.5	6.0E-02
AT1G20510 (REPRESSED:PCHX) AT5G10030	-0.2	9.7E-02
AT1G21010 (REPRESSED:PCHX) AT5G10030	-0.3	9.5E-02
AT1G22710 (REPRESSED:PCHX) AT5G10030	-0.3	7.5E-02
AT1G23190 (REPRESSED:PCHX) AT5G10030	-0.3	3.9E-02
AT1G24280 (REPRESSED:PCHX) AT5G10030	-0.4	6.0E-02
AT1G26380 (INDUCED:PCHX) AT5G10030	0.4	1.5E-02
AT1G27130 (REPRESSED:PCHX) AT5G10030	-0.5	3.0E-03
AT1G27530 (REPRESSED:PCHX) AT5G10030	-0.3	7.8E-02
AT1G28110 (REPRESSED:PCHX) AT5G10030	-0.5	3.4E-02
AT1G28130 (INDUCED:PCHX) AT5G10030	0.8	1.5E-05
AT1G29400 (INDUCED:PCHX) AT5G10030	0.3	4.3E-02
AT1G29770 (INDUCED:PCHX) AT5G10030	0.5	9.7E-02
AT1G30135 (REPRESSED:PCHX) AT5G10030	-0.3	4.3E-02
AT1G31850 (REPRESSED:PCHX) AT5G10030	-0.4	1.0E-02
AT1G32100 (INDUCED:PCHX) AT5G10030	0.6	8.8E-09
AT1G33590 (REPRESSED:PCHX) AT5G10030	-0.4	1.2E-03
AT1G33700 (INDUCED:PCHX) AT5G10030	0.3	7.8E-02
AT1G33760 (REPRESSED:PCHX) AT5G10030	-0.4	5.9E-03
AT1G33990 (REPRESSED:PCHX) AT5G10030	-0.4	5.9E-02
AT1G35720 (REPRESSED:PCHX) AT5G10030	-0.4	2.9E-03
AT1G36370 (INDUCED:PCHX) AT5G10030	0.3	5.2E-02
AT1G44100 (REPRESSED:PCHX) AT5G10030	-0.4	1.1E-03
AT1G44800 (REPRESSED:PCHX) AT5G10030	-0.5	4.0E-02
AT1G45130 (REPRESSED:PCHX) AT5G10030	-0.4	9.8E-02
AT1G47260 (REPRESSED:PCHX) AT5G10030	-0.3	9.4E-02
AT1G47420 (REPRESSED:PCHX) AT5G10030	-0.3	2.1E-02
AT1G47710 (REPRESSED:PCHX) AT5G10030	-0.4	1.7E-02
AT1G49450 (REPRESSED:PCHX) AT5G10030	-0.4	5.8E-02
AT1G50740 (REPRESSED:PCHX) AT5G10030	-0.3	7.5E-02
AT1G51060 (INDUCED:PCHX) AT5G10030	0.4	1.7E-03
AT1G51680 (REPRESSED:PCHX) AT5G10030	-0.3	8.3E-02
AT1G51890 (INDUCED:PCHX) AT5G10030	0.6	9.6E-03
AT1G52600 (REPRESSED:PCHX) AT5G10030	-0.5	8.3E-02
AT1G52890 (REPRESSED:PCHX) AT5G10030	-0.3	6.7E-02
AT1G53210 (REPRESSED:PCHX) AT5G10030	-0.3	2.5E-02
AT1G53280 (REPRESSED:PCHX) AT5G10030	-0.6	1.4E-04
AT1G54410 (REPRESSED:PCHX) AT5G10030	-0.4	1.2E-02
AT1G54890 (REPRESSED:PCHX) AT5G10030	-0.3	6.1E-02
AT1G55360 (REPRESSED:PCHX) AT5G10030	-0.5	3.1E-02
AT1G55450 (REPRESSED:PCHX) AT5G10030	-0.5	3.1E-04
AT1G56145 (INDUCED:PCHX) AT5G10030	0.3	8.0E-02
AT1G56150 (REPRESSED:PCHX) AT5G10030	-0.5	9.5E-04
AT1G56340 (REPRESSED:PCHX) AT5G10030	-0.4	1.2E-02
AT1G57650 (INDUCED:PCHX) AT5G10030	0.5	4.6E-03
AT1G58030 (INDUCED:PCHX) AT5G10030	0.3	1.1E-02
AT1G59620 (REPRESSED:PCHX) AT5G10030	-0.3	9.7E-02
AT1G59870 (REPRESSED:PCHX) AT5G10030	-0.3	1.9E-02
AT1G59900 (REPRESSED:PCHX) AT5G10030	-0.3	5.9E-02
AT1G59970 (INDUCED:PCHX) AT5G10030	0.9	4.4E-07
AT1G60710 (REPRESSED:PCHX) AT5G10030	-0.3	8.2E-03
AT1G61360 (REPRESSED:PCHX) AT5G10030	-0.3	6.4E-03
AT1G62380 (REPRESSED:PCHX) AT5G10030	-0.3	1.5E-02
AT1G63030 (REPRESSED:PCHX) AT5G10030	-0.7	2.7E-03
AT1G63940 (REPRESSED:PCHX) AT5G10030	-0.3	8.3E-02
AT1G64390 (REPRESSED:PCHX) AT5G10030	-0.5	1.5E-02
AT1G65390 (REPRESSED:PCHX) AT5G10030	-0.8	5.2E-07
AT1G65850 (INDUCED:PCHX) AT5G10030	0.5	8.2E-02
AT1G65980 (REPRESSED:PCHX) AT5G10030	-0.3	5.6E-02
AT1G66200 (INDUCED:PCHX) AT5G10030	0.4	3.4E-03
AT1G66550 (INDUCED:PCHX) AT5G10030	1.7	2.9E-19
AT1G66610 (INDUCED:PCHX) AT5G10030	2.5	1.8E-74
AT1G66760 (REPRESSED:PCHX) AT5G10030	-0.3	7.6E-02
AT1G66880 (REPRESSED:PCHX) AT5G10030	-0.3	3.8E-02
AT1G67470 (REPRESSED:PCHX) AT5G10030	-0.3	9.8E-02
AT1G67800 (INDUCED:PCHX) AT5G10030	0.5	3.4E-03
AT1G67810 (INDUCED:PCHX) AT5G10030	0.4	1.9E-02
AT1G68620 (REPRESSED:PCHX) AT5G10030	-0.3	2.6E-02
AT1G69430 (INDUCED:PCHX) AT5G10030	0.5	2.8E-02
AT1G69490 (INDUCED:PCHX) AT5G10030	0.5	4.0E-06
AT1G70130 (REPRESSED:PCHX) AT5G10030	-0.4	5.8E-04
AT1G70300 (INDUCED:PCHX) AT5G10030	0.4	7.9E-04
AT1G70730 (INDUCED:PCHX) AT5G10030	0.4	6.4E-03
AT1G70740 (INDUCED:PCHX) AT5G10030	0.6	1.0E-08
AT1G71040 (REPRESSED:PCHX) AT5G10030	-0.4	3.0E-02
AT1G71880 (REPRESSED:PCHX) AT5G10030	-0.4	5.6E-02
AT1G72070 (REPRESSED:PCHX) AT5G10030	-0.7	2.3E-05
AT1G72150 (INDUCED:PCHX) AT5G10030	0.3	2.1E-02
AT1G72160 (REPRESSED:PCHX) AT5G10030	-0.4	1.6E-02
AT1G72450 (REPRESSED:PCHX) AT5G10030	-0.3	2.5E-02
AT1G72500 (REPRESSED:PCHX) AT5G10030	-0.4	6.6E-02
AT1G72520 (REPRESSED:PCHX) AT5G10030	-0.4	5.8E-05
AT1G72800 (INDUCED:PCHX) AT5G10030	0.4	4.4E-02
AT1G72940 (REPRESSED:PCHX) AT5G10030	-0.5	2.9E-05
AT1G73066 (REPRESSED:PCHX) AT5G10030	-0.4	4.3E-02
AT1G73080 (REPRESSED:PCHX) AT5G10030	-0.3	1.3E-02
AT1G73590 (REPRESSED:PCHX) AT5G10030	-0.5	7.6E-02
AT1G74920 (REPRESSED:PCHX) AT5G10030	-0.3	3.5E-02
AT1G74930 (REPRESSED:PCHX) AT5G10030	-0.4	3.1E-02
AT1G75330 (REPRESSED:PCHX) AT5G10030	-0.4	1.5E-02
AT1G75440 (INDUCED:PCHX) AT5G10030	0.7	3.1E-03
AT1G75600 (INDUCED:PCHX) AT5G10030	0.7	3.3E-03
AT1G76040 (REPRESSED:PCHX) AT5G10030	-0.5	1.2E-05
AT1G76930 (REPRESSED:PCHX) AT5G10030	-0.3	2.3E-02
AT1G77120 (REPRESSED:PCHX) AT5G10030	-0.4	8.0E-03
AT1G78000 (INDUCED:PCHX) AT5G10030	0.3	4.9E-02
AT1G78060 (REPRESSED:PCHX) AT5G10030	-0.6	5.9E-03
AT1G79230 (REPRESSED:PCHX) AT5G10030	-0.3	9.1E-02
AT1G79550 (REPRESSED:PCHX) AT5G10030	-0.3	7.5E-03
AT1G80110 (REPRESSED:PCHX) AT5G10030	-0.3	8.0E-02
AT1G80660 (INDUCED:PCHX) AT5G10030	0.5	3.2E-03
AT1G80670 (INDUCED:PCHX) AT5G10030	0.4	3.8E-02
AT2G01140 (REPRESSED:PCHX) AT5G10030	-0.3	9.5E-02
AT2G02220 (REPRESSED:PCHX) AT5G10030	-0.4	4.2E-03
AT2G05830 (REPRESSED:PCHX) AT5G10030	-0.4	3.7E-02
AT2G05920 (REPRESSED:PCHX) AT5G10030	-0.4	2.2E-02
AT2G15780 (REPRESSED:PCHX) AT5G10030	-0.5	2.8E-03
AT2G16060 (REPRESSED:PCHX) AT5G10030	-0.5	2.7E-02
AT2G16660 (REPRESSED:PCHX) AT5G10030	-0.3	3.7E-02
AT2G17730 (INDUCED:PCHX) AT5G10030	0.9	3.5E-06
AT2G18230 (REPRESSED:PCHX) AT5G10030	-0.7	2.7E-03
AT2G20960 (REPRESSED:PCHX) AT5G10030	-0.3	2.3E-02
AT2G21660 (REPRESSED:PCHX) AT5G10030	-0.4	2.1E-02
AT2G21870 (REPRESSED:PCHX) AT5G10030	-0.4	6.8E-03
AT2G22430 (REPRESSED:PCHX) AT5G10030	-0.4	2.9E-03
AT2G22470 (REPRESSED:PCHX) AT5G10030	-0.3	8.9E-03
AT2G22480 (REPRESSED:PCHX) AT5G10030	-0.3	8.8E-02
AT2G24050 (INDUCED:PCHX) AT5G10030	0.3	9.4E-02
AT2G24200 (REPRESSED:PCHX) AT5G10030	-0.4	7.2E-04
AT2G24260 (REPRESSED:PCHX) AT5G10030	-0.3	9.1E-02
AT2G24500 (INDUCED:PCHX) AT5G10030	0.3	8.7E-02
AT2G24570 (REPRESSED:PCHX) AT5G10030	-0.3	9.7E-02
AT2G25110 (REPRESSED:PCHX) AT5G10030	-0.5	1.2E-02
AT2G25590 (INDUCED:PCHX) AT5G10030	0.4	5.2E-02
AT2G26080 (REPRESSED:PCHX) AT5G10030	-0.5	1.8E-04
AT2G26380 (REPRESSED:PCHX) AT5G10030	-0.4	3.4E-03
AT2G26560 (INDUCED:PCHX) AT5G10030	0.5	2.8E-04
AT2G27310 (REPRESSED:PCHX) AT5G10030	-0.4	5.9E-03
AT2G27660 (REPRESSED:PCHX) AT5G10030	-0.3	9.8E-02
AT2G29380 (REPRESSED:PCHX) AT5G10030	-0.4	2.1E-02
AT2G29460 (REPRESSED:PCHX) AT5G10030	-0.3	3.0E-02
AT2G30210 (REPRESSED:PCHX) AT5G10030	-0.4	7.6E-02
AT2G30620 (INDUCED:PCHX) AT5G10030	0.5	3.5E-04
AT2G30750 (INDUCED:PCHX) AT5G10030	0.5	7.7E-06
AT2G30870 (REPRESSED:PCHX) AT5G10030	-0.4	5.2E-04
AT2G31180 (REPRESSED:PCHX) AT5G10030	-0.6	2.9E-02
AT2G31320 (INDUCED:PCHX) AT5G10030	0.4	4.3E-02
AT2G31390 (REPRESSED:PCHX) AT5G10030	-0.4	3.7E-02
AT2G31690 (REPRESSED:PCHX) AT5G10030	-0.4	1.4E-05
AT2G31880 (REPRESSED:PCHX) AT5G10030	-0.4	1.8E-04
AT2G32220 (REPRESSED:PCHX) AT5G10030	-0.4	9.4E-02
AT2G32580 (REPRESSED:PCHX) AT5G10030	-0.5	6.1E-03
AT2G33040 (REPRESSED:PCHX) AT5G10030	-0.2	1.0E-01
AT2G34070 (REPRESSED:PCHX) AT5G10030	-0.5	8.7E-02
AT2G34340 (INDUCED:PCHX) AT5G10030	0.7	1.6E-05
AT2G34710 (REPRESSED:PCHX) AT5G10030	-0.5	3.2E-02
AT2G34790 (REPRESSED:PCHX) AT5G10030	-0.3	7.3E-02
AT2G35930 (REPRESSED:PCHX) AT5G10030	-0.5	1.3E-05
AT2G35980 (REPRESSED:PCHX) AT5G10030	-0.3	2.4E-02
AT2G36090 (INDUCED:PCHX) AT5G10030	1.5	1.9E-19
AT2G36120 (REPRESSED:PCHX) AT5G10030	-0.4	5.3E-02
AT2G36530 (REPRESSED:PCHX) AT5G10030	-0.3	2.8E-02
AT2G36880 (REPRESSED:PCHX) AT5G10030	-0.4	2.8E-02
AT2G36910 (REPRESSED:PCHX) AT5G10030	-0.4	7.6E-02
AT2G37130 (REPRESSED:PCHX) AT5G10030	-0.5	9.2E-04
AT2G37470 (INDUCED:PCHX) AT5G10030	0.4	1.0E-02
AT2G39400 (INDUCED:PCHX) AT5G10030	0.9	3.1E-11
AT2G40170 (INDUCED:PCHX) AT5G10030	0.6	3.7E-03
AT2G40600 (REPRESSED:PCHX) AT5G10030	-0.4	8.6E-02
AT2G41480 (REPRESSED:PCHX) AT5G10030	-0.5	1.4E-04
AT2G41530 (REPRESSED:PCHX) AT5G10030	-0.4	5.4E-02
AT2G42600 (REPRESSED:PCHX) AT5G10030	-0.3	8.7E-02
AT2G44370 (INDUCED:PCHX) AT5G10030	0.3	5.5E-02
AT2G45080 (REPRESSED:PCHX) AT5G10030	-0.5	1.0E-02
AT2G45220 (INDUCED:PCHX) AT5G10030	0.8	1.9E-14
AT2G45920 (INDUCED:PCHX) AT5G10030	0.3	7.6E-02
AT2G46520 (INDUCED:PCHX) AT5G10030	0.3	2.6E-02
AT2G47140 (REPRESSED:PCHX) AT5G10030	-0.4	1.0E-01
AT2G47470 (REPRESSED:PCHX) AT5G10030	-0.5	6.2E-05
AT2G47730 (REPRESSED:PCHX) AT5G10030	-0.3	3.1E-02
AT2G48090 (INDUCED:PCHX) AT5G10030	0.4	6.9E-02
AT3G01120 (REPRESSED:PCHX) AT5G10030	-0.5	3.3E-05
AT3G01420 (INDUCED:PCHX) AT5G10030	0.4	9.2E-03
AT3G02070 (INDUCED:PCHX) AT5G10030	0.3	9.4E-02
AT3G02170 (INDUCED:PCHX) AT5G10030	0.4	6.1E-02
AT3G02840 (REPRESSED:PCHX) AT5G10030	-0.5	2.5E-06
AT3G03040 (REPRESSED:PCHX) AT5G10030	-0.4	9.3E-02
AT3G03660 (REPRESSED:PCHX) AT5G10030	-0.3	7.3E-02
AT3G03870 (INDUCED:PCHX) AT5G10030	0.5	9.5E-03
AT3G04070 (INDUCED:PCHX) AT5G10030	0.3	2.8E-02
AT3G05390 (REPRESSED:PCHX) AT5G10030	-0.3	6.0E-02
AT3G06050 (REPRESSED:PCHX) AT5G10030	-0.4	3.0E-02
