shared name	FOLDCHANGE	PVALUE
AT1G01060 (REPRESSED:PCHX) AT5G10970	-0.7	5.0E-07
AT1G01100 (INDUCED:PCHX) AT5G10970	0.6	5.8E-05
AT1G01130 (INDUCED:PCHX) AT5G10970	0.6	4.7E-03
AT1G01140 (INDUCED:PCHX) AT5G10970	0.6	1.8E-05
AT1G01190 (REPRESSED:PCHX) AT5G10970	-1.0	3.5E-02
AT1G01300 (INDUCED:PCHX) AT5G10970	0.6	1.4E-06
AT1G01320 (INDUCED:PCHX) AT5G10970	0.4	8.1E-02
AT1G01480 (REPRESSED:PCHX) AT5G10970	-1.0	4.8E-09
AT1G01500 (INDUCED:PCHX) AT5G10970	0.4	4.0E-02
AT1G01620 (REPRESSED:PCHX) AT5G10970	-0.4	8.3E-02
AT1G01630 (REPRESSED:PCHX) AT5G10970	-0.7	9.4E-05
AT1G02140 (INDUCED:PCHX) AT5G10970	0.4	7.9E-03
AT1G02190 (REPRESSED:PCHX) AT5G10970	-0.4	5.2E-02
AT1G02270 (INDUCED:PCHX) AT5G10970	0.3	9.9E-02
AT1G02360 (REPRESSED:PCHX) AT5G10970	-0.9	9.4E-08
AT1G02370 (INDUCED:PCHX) AT5G10970	0.7	9.7E-03
AT1G02400 (REPRESSED:PCHX) AT5G10970	-0.8	6.2E-14
AT1G02690 (INDUCED:PCHX) AT5G10970	0.5	4.7E-02
AT1G02740 (INDUCED:PCHX) AT5G10970	0.4	8.1E-02
AT1G02750 (INDUCED:PCHX) AT5G10970	0.5	8.9E-05
AT1G02780 (INDUCED:PCHX) AT5G10970	0.6	9.8E-07
AT1G02810 (INDUCED:PCHX) AT5G10970	1.2	1.5E-24
AT1G02840 (INDUCED:PCHX) AT5G10970	0.3	4.9E-02
AT1G02870 (INDUCED:PCHX) AT5G10970	0.6	2.6E-02
AT1G03040 (REPRESSED:PCHX) AT5G10970	-0.5	2.2E-03
AT1G03080 (REPRESSED:PCHX) AT5G10970	-0.4	4.3E-03
AT1G03110 (INDUCED:PCHX) AT5G10970	0.5	3.4E-02
AT1G03350 (INDUCED:PCHX) AT5G10970	0.5	3.2E-03
AT1G03360 (INDUCED:PCHX) AT5G10970	1.1	1.3E-04
AT1G03457 (INDUCED:PCHX) AT5G10970	0.8	3.5E-02
AT1G03590 (REPRESSED:PCHX) AT5G10970	-1.2	2.6E-18
AT1G03687 (INDUCED:PCHX) AT5G10970	0.7	6.2E-02
AT1G03730 (REPRESSED:PCHX) AT5G10970	-0.4	4.6E-02
AT1G03820 (INDUCED:PCHX) AT5G10970	1.0	1.9E-02
AT1G03990 (INDUCED:PCHX) AT5G10970	0.5	3.3E-03
AT1G04120 (REPRESSED:PCHX) AT5G10970	-0.4	4.4E-03
AT1G04160 (INDUCED:PCHX) AT5G10970	0.7	2.6E-04
AT1G04270 (INDUCED:PCHX) AT5G10970	0.6	7.1E-05
AT1G04410 (REPRESSED:PCHX) AT5G10970	-0.3	5.4E-02
