shared name	FOLDCHANGE	PVALUE
AT1G01130 (REPRESSED:PCHX) AT3G16870	-0.6	5.3E-02
AT1G01140 (REPRESSED:PCHX) AT3G16870	-0.7	3.0E-06
AT1G01300 (REPRESSED:PCHX) AT3G16870	-0.5	5.2E-02
AT1G01320 (INDUCED:PCHX) AT3G16870	0.7	2.8E-03
AT1G01470 (REPRESSED:PCHX) AT3G16870	-0.9	5.8E-08
AT1G01480 (REPRESSED:PCHX) AT3G16870	-0.7	1.7E-03
AT1G01560 (REPRESSED:PCHX) AT3G16870	-0.4	1.1E-02
AT1G01630 (REPRESSED:PCHX) AT3G16870	-0.8	9.2E-04
AT1G01725 (REPRESSED:PCHX) AT3G16870	-0.5	2.6E-02
AT1G01730 (REPRESSED:PCHX) AT3G16870	-0.4	7.1E-03
AT1G01940 (INDUCED:PCHX) AT3G16870	0.5	7.7E-02
AT1G02220 (REPRESSED:PCHX) AT3G16870	-0.7	3.6E-02
AT1G02310 (REPRESSED:PCHX) AT3G16870	-0.4	1.8E-02
AT1G02330 (INDUCED:PCHX) AT3G16870	0.5	1.7E-02
AT1G02400 (REPRESSED:PCHX) AT3G16870	-0.8	1.8E-12
AT1G02850 (REPRESSED:PCHX) AT3G16870	-0.4	1.1E-02
AT1G02980 (INDUCED:PCHX) AT3G16870	1.2	1.2E-05
AT1G03110 (INDUCED:PCHX) AT3G16870	0.6	4.0E-02
AT1G03150 (INDUCED:PCHX) AT3G16870	0.6	4.1E-02
AT1G03280 (INDUCED:PCHX) AT3G16870	0.4	3.2E-02
AT1G03730 (REPRESSED:PCHX) AT3G16870	-0.3	4.2E-02
AT1G03830 (INDUCED:PCHX) AT3G16870	0.7	2.8E-03
AT1G04050 (INDUCED:PCHX) AT3G16870	0.9	2.2E-03
AT1G04120 (REPRESSED:PCHX) AT3G16870	-0.4	4.1E-02
AT1G04160 (INDUCED:PCHX) AT3G16870	0.5	4.1E-02
AT1G04410 (REPRESSED:PCHX) AT3G16870	-0.6	4.6E-06
AT1G04430 (REPRESSED:PCHX) AT3G16870	-0.4	4.1E-02
AT1G04480 (INDUCED:PCHX) AT3G16870	0.4	9.4E-02
AT1G04490 (REPRESSED:PCHX) AT3G16870	-0.6	3.9E-04
AT1G04510 (INDUCED:PCHX) AT3G16870	0.4	4.1E-02
AT1G04820 (REPRESSED:PCHX) AT3G16870	-0.6	6.6E-04
AT1G04850 (REPRESSED:PCHX) AT3G16870	-0.4	1.9E-02
AT1G04870 (INDUCED:PCHX) AT3G16870	0.5	4.9E-02
AT1G05010 (REPRESSED:PCHX) AT3G16870	-0.6	1.1E-05
AT1G05205 (REPRESSED:PCHX) AT3G16870	-0.7	2.8E-02
AT1G05340 (REPRESSED:PCHX) AT3G16870	-0.4	1.7E-02
AT1G05490 (INDUCED:PCHX) AT3G16870	1.3	1.9E-04
AT1G05520 (REPRESSED:PCHX) AT3G16870	-0.5	4.9E-02
AT1G05575 (REPRESSED:PCHX) AT3G16870	-0.5	2.1E-02
AT1G05800 (REPRESSED:PCHX) AT3G16870	-1.3	7.8E-15
AT1G05990 (REPRESSED:PCHX) AT3G16870	-1.0	8.4E-03
AT1G06070 (INDUCED:PCHX) AT3G16870	0.6	6.6E-04
AT1G06230 (INDUCED:PCHX) AT3G16870	0.3	8.1E-02
AT1G06400 (REPRESSED:PCHX) AT3G16870	-0.4	2.2E-02
AT1G06410 (REPRESSED:PCHX) AT3G16870	-0.5	8.2E-05
AT1G06520 (REPRESSED:PCHX) AT3G16870	-0.4	4.1E-02
AT1G06550 (REPRESSED:PCHX) AT3G16870	-0.7	1.2E-05
AT1G06720 (INDUCED:PCHX) AT3G16870	0.6	6.6E-04
AT1G06760 (INDUCED:PCHX) AT3G16870	0.4	2.6E-02
AT1G06950 (INDUCED:PCHX) AT3G16870	0.3	5.4E-02
AT1G07120 (REPRESSED:PCHX) AT3G16870	-0.9	3.7E-03
AT1G07360 (INDUCED:PCHX) AT3G16870	0.4	2.3E-02
AT1G07370 (INDUCED:PCHX) AT3G16870	0.9	3.3E-02
AT1G07615 (INDUCED:PCHX) AT3G16870	0.6	4.4E-02
AT1G07790 (INDUCED:PCHX) AT3G16870	1.0	9.6E-07
AT1G07795 (INDUCED:PCHX) AT3G16870	1.0	1.0E-02
AT1G07850 (REPRESSED:PCHX) AT3G16870	-0.5	4.6E-02
AT1G07890 (REPRESSED:PCHX) AT3G16870	-0.5	2.3E-04
AT1G08130 (INDUCED:PCHX) AT3G16870	0.4	7.3E-02
AT1G08230 (REPRESSED:PCHX) AT3G16870	-0.7	7.2E-03
AT1G08270 (INDUCED:PCHX) AT3G16870	0.9	3.1E-04
AT1G08280 (INDUCED:PCHX) AT3G16870	0.9	1.7E-03
AT1G08320 (INDUCED:PCHX) AT3G16870	0.6	1.5E-02
AT1G08480 (REPRESSED:PCHX) AT3G16870	-0.5	1.9E-02
AT1G08580 (INDUCED:PCHX) AT3G16870	0.7	4.9E-03
AT1G08830 (REPRESSED:PCHX) AT3G16870	-0.7	6.9E-07
AT1G09100 (INDUCED:PCHX) AT3G16870	0.4	9.8E-02
AT1G09130 (INDUCED:PCHX) AT3G16870	0.3	9.2E-02
AT1G09180 (INDUCED:PCHX) AT3G16870	1.0	2.8E-03
AT1G09210 (REPRESSED:PCHX) AT3G16870	-0.6	8.2E-03
AT1G09430 (REPRESSED:PCHX) AT3G16870	-0.7	1.2E-05
AT1G09575 (REPRESSED:PCHX) AT3G16870	-0.3	7.4E-02
AT1G09760 (INDUCED:PCHX) AT3G16870	0.4	8.1E-02
AT1G09780 (REPRESSED:PCHX) AT3G16870	-0.4	1.4E-02
AT1G09790 (INDUCED:PCHX) AT3G16870	0.8	8.8E-02
AT1G09815 (INDUCED:PCHX) AT3G16870	0.9	1.8E-06
AT1G09920 (INDUCED:PCHX) AT3G16870	0.3	5.1E-02
AT1G09930 (INDUCED:PCHX) AT3G16870	0.3	2.3E-02
AT1G09970 (REPRESSED:PCHX) AT3G16870	-0.5	3.5E-03
AT1G10370 (REPRESSED:PCHX) AT3G16870	-0.5	1.0E-02
AT1G10630 (REPRESSED:PCHX) AT3G16870	-0.6	2.4E-02
AT1G10670 (REPRESSED:PCHX) AT3G16870	-0.6	6.3E-04
AT1G10700 (REPRESSED:PCHX) AT3G16870	-0.3	9.8E-02
AT1G11240 (INDUCED:PCHX) AT3G16870	0.6	3.1E-02
AT1G11650 (REPRESSED:PCHX) AT3G16870	-0.4	1.1E-02
AT1G11670 (REPRESSED:PCHX) AT3G16870	-0.6	7.4E-05
AT1G11700 (REPRESSED:PCHX) AT3G16870	-0.8	9.6E-03
AT1G11960 (REPRESSED:PCHX) AT3G16870	-0.4	4.8E-04
AT1G12000 (REPRESSED:PCHX) AT3G16870	-0.5	2.3E-03
AT1G12110 (REPRESSED:PCHX) AT3G16870	-0.4	7.4E-02
AT1G12140 (REPRESSED:PCHX) AT3G16870	-0.8	5.8E-09
AT1G12200 (REPRESSED:PCHX) AT3G16870	-1.1	1.6E-08
AT1G12240 (INDUCED:PCHX) AT3G16870	0.8	2.1E-02
AT1G12410 (INDUCED:PCHX) AT3G16870	0.6	1.4E-03
AT1G12740 (INDUCED:PCHX) AT3G16870	0.8	2.3E-02
AT1G12840 (REPRESSED:PCHX) AT3G16870	-0.8	2.5E-08
AT1G12990 (REPRESSED:PCHX) AT3G16870	-0.7	3.9E-05
AT1G13030 (INDUCED:PCHX) AT3G16870	0.7	2.6E-03
AT1G13120 (INDUCED:PCHX) AT3G16870	0.9	6.2E-08
AT1G13160 (INDUCED:PCHX) AT3G16870	0.4	6.9E-02
AT1G13220 (INDUCED:PCHX) AT3G16870	0.5	8.0E-03
AT1G13260 (REPRESSED:PCHX) AT3G16870	-0.7	1.7E-09
AT1G13440 (REPRESSED:PCHX) AT3G16870	-0.5	8.8E-05
AT1G13560 (REPRESSED:PCHX) AT3G16870	-0.4	1.7E-03
AT1G13600 (REPRESSED:PCHX) AT3G16870	-0.8	5.1E-02
AT1G14300 (INDUCED:PCHX) AT3G16870	0.5	2.6E-02
AT1G14450 (REPRESSED:PCHX) AT3G16870	-0.8	3.6E-02
AT1G14640 (INDUCED:PCHX) AT3G16870	0.8	5.4E-05
AT1G14670 (REPRESSED:PCHX) AT3G16870	-0.5	1.2E-02
AT1G14720 (INDUCED:PCHX) AT3G16870	0.9	1.9E-05
AT1G14810 (INDUCED:PCHX) AT3G16870	0.5	9.9E-02
AT1G14890 (REPRESSED:PCHX) AT3G16870	-1.1	4.9E-11
AT1G14990 (REPRESSED:PCHX) AT3G16870	-0.7	2.0E-02
AT1G15120 (REPRESSED:PCHX) AT3G16870	-0.6	9.8E-03
AT1G15140 (INDUCED:PCHX) AT3G16870	0.5	3.3E-02
AT1G15200 (INDUCED:PCHX) AT3G16870	0.4	8.8E-03
AT1G15210 (REPRESSED:PCHX) AT3G16870	-0.3	6.6E-02
AT1G15250 (INDUCED:PCHX) AT3G16870	0.6	1.7E-02
AT1G15340 (INDUCED:PCHX) AT3G16870	0.4	1.2E-02
AT1G15440 (INDUCED:PCHX) AT3G16870	0.4	4.7E-02
AT1G15530 (INDUCED:PCHX) AT3G16870	0.6	7.0E-02
AT1G15940 (INDUCED:PCHX) AT3G16870	0.7	1.3E-05
AT1G16280 (INDUCED:PCHX) AT3G16870	0.8	7.7E-03
