shared name	FOLDCHANGE	PVALUE
AT1G01040 (INDUCED:PCHX) AT2G22200	0.3	8.8E-02
AT1G01060 (INDUCED:PCHX) AT2G22200	0.4	2.1E-02
AT1G01070 (REPRESSED:PCHX) AT2G22200	-0.8	5.5E-02
AT1G01130 (REPRESSED:PCHX) AT2G22200	-0.6	3.9E-02
AT1G01140 (REPRESSED:PCHX) AT2G22200	-0.7	4.9E-08
AT1G01320 (INDUCED:PCHX) AT2G22200	0.5	2.7E-02
AT1G01360 (INDUCED:PCHX) AT2G22200	0.5	4.9E-02
AT1G01480 (REPRESSED:PCHX) AT2G22200	-0.8	5.2E-05
AT1G01490 (INDUCED:PCHX) AT2G22200	0.6	3.4E-05
AT1G01560 (REPRESSED:PCHX) AT2G22200	-0.7	1.4E-07
AT1G01630 (REPRESSED:PCHX) AT2G22200	-0.8	2.1E-03
AT1G01725 (REPRESSED:PCHX) AT2G22200	-0.6	6.2E-04
AT1G01730 (REPRESSED:PCHX) AT2G22200	-0.6	2.8E-05
AT1G01750 (REPRESSED:PCHX) AT2G22200	-0.8	2.4E-02
AT1G01760 (REPRESSED:PCHX) AT2G22200	-1.0	9.3E-05
AT1G01790 (REPRESSED:PCHX) AT2G22200	-0.5	2.3E-02
AT1G01800 (REPRESSED:PCHX) AT2G22200	-0.6	4.4E-04
AT1G01930 (INDUCED:PCHX) AT2G22200	0.4	9.8E-02
AT1G01980 (REPRESSED:PCHX) AT2G22200	-0.9	6.7E-02
AT1G02090 (INDUCED:PCHX) AT2G22200	0.3	8.2E-02
AT1G02310 (REPRESSED:PCHX) AT2G22200	-0.3	3.5E-02
AT1G02330 (INDUCED:PCHX) AT2G22200	0.8	4.1E-05
AT1G02340 (INDUCED:PCHX) AT2G22200	1.6	4.0E-05
AT1G02360 (REPRESSED:PCHX) AT2G22200	-0.6	5.8E-04
AT1G02400 (REPRESSED:PCHX) AT2G22200	-0.4	4.0E-04
AT1G02420 (INDUCED:PCHX) AT2G22200	0.9	4.2E-02
AT1G02560 (INDUCED:PCHX) AT2G22200	0.7	6.7E-07
AT1G02670 (INDUCED:PCHX) AT2G22200	0.6	1.5E-02
AT1G02850 (REPRESSED:PCHX) AT2G22200	-0.6	1.9E-05
AT1G02980 (INDUCED:PCHX) AT2G22200	1.2	2.0E-05
AT1G03080 (INDUCED:PCHX) AT2G22200	0.7	3.3E-07
AT1G03280 (INDUCED:PCHX) AT2G22200	0.5	2.5E-03
AT1G03830 (INDUCED:PCHX) AT2G22200	0.6	1.4E-02
AT1G03990 (REPRESSED:PCHX) AT2G22200	-0.5	1.1E-02
AT1G04050 (INDUCED:PCHX) AT2G22200	0.7	2.2E-02
AT1G04080 (INDUCED:PCHX) AT2G22200	0.4	5.2E-03
AT1G04160 (INDUCED:PCHX) AT2G22200	0.8	1.0E-05
AT1G04410 (REPRESSED:PCHX) AT2G22200	-0.8	3.5E-10
AT1G04490 (REPRESSED:PCHX) AT2G22200	-0.5	4.9E-03
AT1G04510 (INDUCED:PCHX) AT2G22200	0.3	7.1E-02
AT1G04530 (INDUCED:PCHX) AT2G22200	0.9	1.2E-04
AT1G04820 (REPRESSED:PCHX) AT2G22200	-0.8	1.1E-06
AT1G04850 (REPRESSED:PCHX) AT2G22200	-0.5	2.1E-04
AT1G05010 (REPRESSED:PCHX) AT2G22200	-0.7	2.2E-06
AT1G05020 (REPRESSED:PCHX) AT2G22200	-0.8	3.5E-02
AT1G05205 (REPRESSED:PCHX) AT2G22200	-0.6	7.5E-02
AT1G05340 (REPRESSED:PCHX) AT2G22200	-0.4	2.3E-02
AT1G05380 (INDUCED:PCHX) AT2G22200	0.4	4.2E-02
AT1G05490 (INDUCED:PCHX) AT2G22200	0.8	5.2E-02
AT1G05575 (REPRESSED:PCHX) AT2G22200	-1.2	2.2E-10
AT1G05620 (REPRESSED:PCHX) AT2G22200	-0.5	3.1E-04
AT1G05800 (REPRESSED:PCHX) AT2G22200	-1.0	5.0E-09
AT1G05990 (REPRESSED:PCHX) AT2G22200	-0.8	3.6E-02
AT1G06010 (REPRESSED:PCHX) AT2G22200	-0.8	5.2E-02
AT1G06070 (INDUCED:PCHX) AT2G22200	0.5	5.8E-04
AT1G06150 (INDUCED:PCHX) AT2G22200	0.6	2.3E-03
AT1G06400 (REPRESSED:PCHX) AT2G22200	-0.5	2.5E-04
AT1G06410 (REPRESSED:PCHX) AT2G22200	-0.5	1.6E-03
AT1G06430 (REPRESSED:PCHX) AT2G22200	-0.4	2.7E-02
AT1G06550 (REPRESSED:PCHX) AT2G22200	-1.1	1.8E-11
AT1G06560 (INDUCED:PCHX) AT2G22200	0.5	9.7E-02
AT1G06720 (INDUCED:PCHX) AT2G22200	0.4	6.3E-02
AT1G06760 (INDUCED:PCHX) AT2G22200	0.4	3.3E-03
AT1G07110 (REPRESSED:PCHX) AT2G22200	-0.4	2.0E-02
AT1G07120 (REPRESSED:PCHX) AT2G22200	-0.8	1.1E-02
AT1G07150 (INDUCED:PCHX) AT2G22200	0.8	2.2E-09
AT1G07290 (INDUCED:PCHX) AT2G22200	0.9	2.5E-02
AT1G07350 (REPRESSED:PCHX) AT2G22200	-0.5	7.6E-03
AT1G07360 (INDUCED:PCHX) AT2G22200	0.4	5.5E-03
AT1G07530 (REPRESSED:PCHX) AT2G22200	-0.3	6.6E-02
AT1G07615 (INDUCED:PCHX) AT2G22200	0.8	3.0E-03
AT1G07790 (INDUCED:PCHX) AT2G22200	0.7	4.1E-05
AT1G07795 (INDUCED:PCHX) AT2G22200	0.8	8.4E-02
AT1G07850 (REPRESSED:PCHX) AT2G22200	-0.4	8.8E-02
AT1G07890 (REPRESSED:PCHX) AT2G22200	-0.6	1.8E-05
AT1G08050 (INDUCED:PCHX) AT2G22200	0.7	2.2E-08
AT1G08110 (REPRESSED:PCHX) AT2G22200	-0.4	3.1E-02
AT1G08130 (INDUCED:PCHX) AT2G22200	0.8	1.4E-05
AT1G08280 (INDUCED:PCHX) AT2G22200	0.6	7.6E-02
AT1G08320 (INDUCED:PCHX) AT2G22200	0.5	8.3E-02
AT1G08480 (REPRESSED:PCHX) AT2G22200	-0.5	7.7E-03
AT1G08500 (INDUCED:PCHX) AT2G22200	0.8	6.1E-02
AT1G08510 (INDUCED:PCHX) AT2G22200	0.6	3.6E-05
