shared name	FOLDCHANGE	PVALUE
AT1G01060 (REPRESSED:PCHX) AT2G33550	-0.3	8.5E-02
AT1G01480 (REPRESSED:PCHX) AT2G33550	-0.4	5.9E-02
AT1G01630 (REPRESSED:PCHX) AT2G33550	-0.4	8.1E-02
AT1G01725 (REPRESSED:PCHX) AT2G33550	-0.4	2.5E-02
AT1G01730 (REPRESSED:PCHX) AT2G33550	-0.3	4.2E-02
AT1G01760 (REPRESSED:PCHX) AT2G33550	-0.6	2.1E-02
AT1G01780 (REPRESSED:PCHX) AT2G33550	-0.3	8.7E-02
AT1G01790 (REPRESSED:PCHX) AT2G33550	-0.5	1.5E-03
AT1G02140 (INDUCED:PCHX) AT2G33550	0.5	1.1E-03
AT1G02400 (REPRESSED:PCHX) AT2G33550	-0.4	3.8E-03
AT1G02750 (INDUCED:PCHX) AT2G33550	0.4	2.2E-02
AT1G02850 (REPRESSED:PCHX) AT2G33550	-0.3	7.8E-02
AT1G02900 (INDUCED:PCHX) AT2G33550	0.9	4.9E-07
AT1G02980 (INDUCED:PCHX) AT2G33550	0.6	1.8E-02
AT1G03090 (REPRESSED:PCHX) AT2G33550	-0.3	4.4E-02
AT1G04050 (INDUCED:PCHX) AT2G33550	0.5	8.7E-02
AT1G04160 (INDUCED:PCHX) AT2G33550	0.6	3.0E-03
AT1G04850 (REPRESSED:PCHX) AT2G33550	-0.3	8.4E-02
AT1G05330 (REPRESSED:PCHX) AT2G33550	-0.6	3.9E-03
AT1G06520 (INDUCED:PCHX) AT2G33550	0.5	2.2E-02
AT1G06550 (REPRESSED:PCHX) AT2G33550	-0.3	6.9E-02
AT1G06760 (INDUCED:PCHX) AT2G33550	0.6	2.6E-08
AT1G07430 (REPRESSED:PCHX) AT2G33550	-0.6	9.0E-06
AT1G07615 (INDUCED:PCHX) AT2G33550	0.5	7.3E-02
AT1G07640 (INDUCED:PCHX) AT2G33550	0.3	8.5E-02
AT1G07790 (INDUCED:PCHX) AT2G33550	0.9	1.2E-08
AT1G08230 (REPRESSED:PCHX) AT2G33550	-0.4	9.8E-02
AT1G08730 (REPRESSED:PCHX) AT2G33550	-0.6	6.6E-05
AT1G08880 (INDUCED:PCHX) AT2G33550	0.6	2.0E-05
AT1G08930 (REPRESSED:PCHX) AT2G33550	-0.3	2.9E-02
AT1G09180 (INDUCED:PCHX) AT2G33550	0.6	3.5E-02
AT1G09200 (INDUCED:PCHX) AT2G33550	0.6	1.5E-02
AT1G09210 (REPRESSED:PCHX) AT2G33550	-0.4	7.7E-03
AT1G09815 (INDUCED:PCHX) AT2G33550	0.6	4.5E-04
AT1G09900 (REPRESSED:PCHX) AT2G33550	-0.4	8.6E-02
AT1G09950 (INDUCED:PCHX) AT2G33550	0.7	4.4E-08
AT1G09970 (REPRESSED:PCHX) AT2G33550	-0.4	6.9E-03
AT1G10590 (INDUCED:PCHX) AT2G33550	0.4	8.0E-02
AT1G11070 (REPRESSED:PCHX) AT2G33550	-0.6	6.9E-02
AT1G12050 (REPRESSED:PCHX) AT2G33550	-0.4	3.2E-02
AT1G12200 (REPRESSED:PCHX) AT2G33550	-0.3	3.9E-02
AT1G12780 (REPRESSED:PCHX) AT2G33550	-0.3	9.1E-02
AT1G12950 (REPRESSED:PCHX) AT2G33550	-0.4	7.9E-02
AT1G13210 (REPRESSED:PCHX) AT2G33550	-0.3	4.6E-03
AT1G13260 (REPRESSED:PCHX) AT2G33550	-0.3	3.4E-02
AT1G14320 (INDUCED:PCHX) AT2G33550	0.4	1.1E-02
AT1G14460 (REPRESSED:PCHX) AT2G33550	-0.6	1.1E-02
AT1G14490 (REPRESSED:PCHX) AT2G33550	-0.5	2.0E-02
AT1G14720 (INDUCED:PCHX) AT2G33550	0.4	1.6E-02
AT1G15230 (INDUCED:PCHX) AT2G33550	0.3	6.2E-02
AT1G15400 (INDUCED:PCHX) AT2G33550	0.4	9.2E-02
AT1G15440 (INDUCED:PCHX) AT2G33550	0.4	6.1E-02
AT1G15940 (INDUCED:PCHX) AT2G33550	0.3	8.8E-02
AT1G15950 (REPRESSED:PCHX) AT2G33550	-0.4	8.9E-02
AT1G16900 (INDUCED:PCHX) AT2G33550	0.4	1.3E-02
AT1G17180 (INDUCED:PCHX) AT2G33550	0.4	6.8E-02
