shared name	FOLDCHANGE	PVALUE
AT1G01480 (REPRESSED:PCHX) AT5G62430	-0.5	6.6E-03
AT1G01490 (INDUCED:PCHX) AT2G22200	0.6	3.4E-05
AT1G01490 (INDUCED:PCHX) AT4G39780	0.7	1.7E-07
AT1G01490 (INDUCED:PCHX) AT5G10030	0.3	5.6E-02
AT1G01490 (INDUCED:PCHX) AT5G65210	0.6	3.2E-08
AT1G01500 (INDUCED:PCHX) AT5G10970	0.4	4.0E-02
AT1G01540 (INDUCED:PCHX) AT2G22430	0.5	5.4E-03
AT1G01550 (REPRESSED:PCHX) AT2G22430	-0.2	8.4E-03
AT1G01550 (REPRESSED:PCHX) AT2G39250	-0.2	3.1E-02
AT1G01550 (REPRESSED:PCHX) AT4G16141	-0.3	2.1E-02
AT1G01560 (REPRESSED:PCHX) AT2G22200	-0.7	1.4E-07
AT1G01560 (REPRESSED:PCHX) AT2G22430	-0.3	1.8E-02
AT1G01560 (REPRESSED:PCHX) AT3G16870	-0.4	1.1E-02
AT1G01560 (REPRESSED:PCHX) AT5G62020	-0.9	7.1E-13
AT1G01560 (REPRESSED:PCHX) AT5G65210	-0.3	1.3E-02
AT1G01620 (INDUCED:PCHX) AT2G22430	0.8	6.5E-05
AT1G01620 (INDUCED:PCHX) AT4G16141	0.8	3.3E-04
AT1G01620 (REPRESSED:PCHX) AT5G10970	-0.4	8.3E-02
AT1G01630 (REPRESSED:PCHX) AT1G66140	-0.5	3.8E-02
AT1G01630 (REPRESSED:PCHX) AT1G68670	-0.4	8.3E-02
AT1G01630 (REPRESSED:PCHX) AT2G22200	-0.8	2.1E-03
AT1G01630 (REPRESSED:PCHX) AT2G22430	-0.4	1.3E-02
AT1G01630 (REPRESSED:PCHX) AT2G33550	-0.4	8.1E-02
AT1G01630 (REPRESSED:PCHX) AT3G16870	-0.8	9.2E-04
AT1G01630 (REPRESSED:PCHX) AT4G16141	-0.4	2.9E-02
AT1G01630 (REPRESSED:PCHX) AT5G10970	-0.7	9.4E-05
AT1G01630 (REPRESSED:PCHX) AT5G15830	-0.5	4.2E-02
AT1G01630 (REPRESSED:PCHX) AT5G49450	-0.6	7.6E-05
AT1G01630 (REPRESSED:PCHX) AT5G57660	-0.4	6.5E-02
AT1G01630 (REPRESSED:PCHX) AT5G62020	-0.7	4.6E-03
AT1G01630 (REPRESSED:PCHX) AT5G65210	-0.9	5.4E-09
AT1G01700 (INDUCED:PCHX) AT5G49450	0.8	1.4E-02
AT1G01700 (INDUCED:PCHX) AT5G65210	1.1	1.7E-04
AT1G01725 (REPRESSED:PCHX) AT2G22200	-0.6	6.2E-04
AT1G01725 (REPRESSED:PCHX) AT2G33550	-0.4	2.5E-02
AT1G01725 (INDUCED:PCHX) AT2G39250	0.4	8.5E-02
AT1G01725 (REPRESSED:PCHX) AT3G16870	-0.5	2.6E-02
AT1G01725 (REPRESSED:PCHX) AT3G49940	-0.6	4.6E-04
AT1G01725 (REPRESSED:PCHX) AT4G39780	-0.5	4.6E-03
