shared name	FOLDCHANGE	PVALUE
AT1G01100 (INDUCED:PCHX) AT4G27950	0.5	5.2E-03
AT1G01940 (INDUCED:PCHX) AT4G27950	0.5	5.8E-02
AT1G02780 (INDUCED:PCHX) AT4G27950	0.4	8.4E-04
AT1G04270 (INDUCED:PCHX) AT4G27950	0.6	9.2E-06
AT1G04480 (INDUCED:PCHX) AT4G27950	0.5	5.7E-03
AT1G04870 (INDUCED:PCHX) AT4G27950	0.6	7.9E-04
AT1G06720 (INDUCED:PCHX) AT4G27950	0.4	4.3E-02
AT1G10480 (REPRESSED:PCHX) AT4G27950	-0.4	1.9E-02
AT1G14320 (INDUCED:PCHX) AT4G27950	0.3	1.1E-02
AT1G14610 (INDUCED:PCHX) AT4G27950	0.4	7.3E-03
AT1G15930 (INDUCED:PCHX) AT4G27950	0.5	3.2E-03
AT1G18080 (INDUCED:PCHX) AT4G27950	0.5	5.6E-06
AT1G18540 (INDUCED:PCHX) AT4G27950	0.5	4.0E-03
AT1G19210 (REPRESSED:PCHX) AT4G27950	-0.4	9.9E-03
AT1G19220 (REPRESSED:PCHX) AT4G27950	-0.3	5.8E-02
AT1G20220 (INDUCED:PCHX) AT4G27950	0.5	4.7E-03
AT1G22780 (INDUCED:PCHX) AT4G27950	0.4	4.3E-02
AT1G23280 (INDUCED:PCHX) AT4G27950	0.6	9.4E-03
AT1G26880 (INDUCED:PCHX) AT4G27950	0.4	9.4E-02
AT1G27400 (INDUCED:PCHX) AT4G27950	0.4	3.9E-02
AT1G29900 (INDUCED:PCHX) AT4G27950	0.5	1.2E-04
AT1G30240 (INDUCED:PCHX) AT4G27950	0.4	7.0E-02
AT1G30510 (REPRESSED:PCHX) AT4G27950	-0.3	8.1E-02
AT1G31970 (INDUCED:PCHX) AT4G27950	0.5	1.1E-02
AT1G35580 (REPRESSED:PCHX) AT4G27950	-0.3	1.8E-02
AT1G43170 (INDUCED:PCHX) AT4G27950	0.6	5.9E-08
AT1G48630 (INDUCED:PCHX) AT4G27950	0.4	7.0E-02
AT1G48830 (INDUCED:PCHX) AT4G27950	0.4	6.5E-02
AT1G48920 (INDUCED:PCHX) AT4G27950	0.4	2.2E-04
AT1G49450 (REPRESSED:PCHX) AT4G27950	-0.5	6.4E-03
AT1G49760 (INDUCED:PCHX) AT4G27950	0.4	4.6E-02
AT1G50920 (INDUCED:PCHX) AT4G27950	0.3	6.6E-02
AT1G52300 (INDUCED:PCHX) AT4G27950	0.4	4.4E-02
AT1G52980 (INDUCED:PCHX) AT4G27950	0.3	8.9E-02
AT1G55020 (REPRESSED:PCHX) AT4G27950	-0.6	1.1E-06
AT1G56070 (INDUCED:PCHX) AT4G27950	0.4	2.6E-04
AT1G56110 (INDUCED:PCHX) AT4G27950	0.4	1.5E-03
AT1G61570 (INDUCED:PCHX) AT4G27950	0.5	3.7E-02
AT1G63660 (INDUCED:PCHX) AT4G27950	0.4	5.8E-02
AT1G63980 (INDUCED:PCHX) AT4G27950	0.4	7.4E-02
