shared name	FOLDCHANGE	PVALUE
AT1G01070 (REPRESSED:PCHX) AT1G68670	-0.6	3.9E-02
AT1G01480 (REPRESSED:PCHX) AT1G68670	-0.4	5.9E-02
AT1G01630 (REPRESSED:PCHX) AT1G68670	-0.4	8.3E-02
AT1G02205 (REPRESSED:PCHX) AT1G68670	-0.6	6.4E-02
AT1G02360 (REPRESSED:PCHX) AT1G68670	-0.6	3.6E-03
AT1G02400 (REPRESSED:PCHX) AT1G68670	-0.6	1.8E-08
AT1G02810 (INDUCED:PCHX) AT1G68670	1.3	6.7E-31
AT1G02860 (INDUCED:PCHX) AT1G68670	0.7	7.5E-04
AT1G03040 (REPRESSED:PCHX) AT1G68670	-0.4	4.9E-02
AT1G03590 (REPRESSED:PCHX) AT1G68670	-0.4	3.4E-02
AT1G03790 (INDUCED:PCHX) AT1G68670	0.7	2.9E-06
AT1G04160 (INDUCED:PCHX) AT1G68670	0.7	2.7E-04
AT1G04410 (REPRESSED:PCHX) AT1G68670	-0.3	9.0E-02
AT1G05000 (REPRESSED:PCHX) AT1G68670	-0.5	5.5E-03
AT1G05060 (INDUCED:PCHX) AT1G68670	0.4	2.8E-02
AT1G05280 (INDUCED:PCHX) AT1G68670	1.7	9.0E-10
AT1G05330 (REPRESSED:PCHX) AT1G68670	-0.4	6.8E-02
AT1G05340 (REPRESSED:PCHX) AT1G68670	-0.4	9.2E-03
AT1G06400 (REPRESSED:PCHX) AT1G68670	-0.4	2.1E-02
AT1G06550 (REPRESSED:PCHX) AT1G68670	-0.5	8.4E-05
AT1G06720 (INDUCED:PCHX) AT1G68670	0.3	6.0E-02
AT1G06760 (INDUCED:PCHX) AT1G68670	0.6	1.5E-08
AT1G07025 (INDUCED:PCHX) AT1G68670	0.6	8.1E-02
AT1G07070 (INDUCED:PCHX) AT1G68670	0.7	5.0E-02
AT1G07150 (INDUCED:PCHX) AT1G68670	0.3	2.2E-02
AT1G07180 (INDUCED:PCHX) AT1G68670	1.2	1.3E-06
AT1G07430 (REPRESSED:PCHX) AT1G68670	-0.4	1.2E-02
AT1G07790 (INDUCED:PCHX) AT1G68670	0.9	7.7E-09
AT1G08090 (INDUCED:PCHX) AT1G68670	0.6	4.8E-02
AT1G08190 (REPRESSED:PCHX) AT1G68670	-0.4	1.3E-02
AT1G08230 (REPRESSED:PCHX) AT1G68670	-0.4	3.5E-02
